ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000160796_NBEAL2,0.999749769,0.939450722,3.378280842,0,8.431643979,17.12635708,61.12670084,10.14584621,1.029661896,50.42780604,0,2.330968928,184.240827,6.973685997,89.87543852,6.988094864,107.476965
ENSG00000145703_IQGAP2,0.999744487,0.469725361,1.351312337,2.884967947,3.161866492,18.68329864,32.44997699,18.08607367,2.059323791,1.120617912,2.429695439,4.079195625,19.7400886,6.973685997,5.502577869,3.494047432,0
ENSG00000184860_SDR42E1,0.999743524,10.3386552,21.6547802,0,1.053955497,4.69158388,0.76974364,0,2.059323791,5.463012321,374.1730976,0,13.16005907,5.217188837,18.34192623,1.55290997,0
ENSG00000242114_MTFP1,0.999742225,34.4073827,49.32290029,40.31454209,49.53590837,28.54392847,36.97788075,33.52540485,13.97251192,14.0077239,0,4.277327984,6.580029535,24.5386576,0,23.85657941,0
ENSG00000067208_EVI5,0.999741041,0,0,0,0.864243508,3.269577261,1.411196674,4.821482566,0,1.126221002,2.211022849,0,0,3.495560106,3.668385246,7.768432124,12.64434882
ENSG00000151176_PLBD2,0.999740666,3.288077527,6.776831369,7.281659098,1.053955497,10.81555399,0.754650628,12.79258869,7.20763327,7.5137431,272.1258892,23.30968928,52.64023628,1.311924678,3.723411024,3.125231314,18.96652323
ENSG00000134986_NREP,0.999739769,8.92478186,1.351312337,8.654903841,4.215821989,1.037961035,1.177254979,0,0,0.560308956,4.859390878,0,0,0,3.668385246,0,6.322174409
ENSG00000170949_ZNF160,0.999739578,1.878901444,0,0,0,23.87310381,2.263951883,2.20561874,14.49763949,20.73143137,121.4847719,0,7.303832783,13.32845736,5.502577869,0,0
ENSG00000152133_GPATCH11,0.999737574,0.939450722,14.24283203,22.50851992,7.377688481,2.075922071,7.554052782,0.882247496,1.029661896,0.63314912,0,0,13.16005907,1.747780053,1.834192623,0,18.96652323
ENSG00000168016_TRANK1,0.999733802,4.697253611,3.378280842,0.576993589,8.431643979,21.79718174,22.63951883,29.55529112,12.35594275,35.29946423,7.289086317,17.48226696,65.80029535,11.33223975,69.69931967,19.02314713,37.93304645
ENSG00000131844_MCCC2,0.999732442,2.348626805,0,14.44214954,13.70142147,27.53710627,4.527903766,11.0280937,13.38560464,28.57575675,46.16421334,73.42552124,59.22026581,25.27961174,56.85997131,15.14087221,37.93304645
ENSG00000074966_TXK,0.999727543,16.910113,71.61955385,17.88680127,17.94886212,27.50596744,27.19760862,15.01585238,8.237295166,3.922162692,0,14.5685558,19.7400886,0.87171075,0,0,6.322174409
ENSG00000077044_DGKD,0.999726458,8.455056499,0,6.346929484,5.269777487,2.594902588,0,0,0,0,2.429695439,0,13.16005907,0,1.834192623,0,0
ENSG00000104969_SGTA,0.999724985,26.30462022,18.24271655,13.84784615,17.91724345,21.79718174,18.86626569,23.8206824,17.50425223,5.042780604,0,10.48936018,6.580029535,22.22862412,14.67354098,20.5760571,6.322174409
ENSG00000089902_RCOR1,0.999722653,0,4.729593178,30.58066024,0,0.518980518,2.263951883,0.0352899,0,3.361853736,7.289086317,0,0,0.87171075,0,0,6.322174409
ENSG00000067221_STOML1,0.999721118,4.847565726,2.702624673,3.467731472,4.310677984,0,0.815022678,0,4.118647583,1.120617912,0,0,6.580029535,7.535939431,3.686727172,6.599867372,0
ENSG00000160683_CXCR5,0.999715434,18.45550944,17.83732284,13.8247664,1.78118479,110.5428503,116.8651962,96.16497708,57.66106616,220.7617287,614.712946,30.8853383,85.54038395,467.2369618,1241.748406,218.1838508,567.1622662
ENSG00000196937_FAM3C,0.999709832,0.939450722,0,0,3.161866492,8.303688283,0,0,0,1.120617912,116.6253811,0,0,0.87171075,0,0,0
ENSG00000109805_NCAPG,0.999701809,0,0,0,1.053955497,0.518980518,0,3.528989984,1.029661896,8.964943296,0,13.98581357,0,2.615132249,0,10.4821423,0
ENSG00000237649_KIFC1,0.999699893,1.465543127,0.831057087,0,0,0,0,0,2.059323791,1.120617912,29.15634527,0,32.90014767,5.230264498,11.07852344,2.329364955,63.22174409
ENSG00000242261_RP11-62J1.3,0.999699529,1.122643613,0,0,0,0,0,0,0.895805849,6.292269576,0,6.561677533,0,0.335608639,0,1.160800202,0
